report_property [get_bd_cells zynq_ultra_ps_e_0]
Property                                               Type    Read-only  Value
CONFIG.PSU_MIO_51_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_51_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_51_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_51_SLEW                                 string  false      slow
CONFIG.PSU_MIO_52_DIRECTION                            string  false      in
CONFIG.PSU_MIO_52_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_52_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_52_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_52_SLEW                                 string  false      slow
CONFIG.PSU_MIO_53_DIRECTION                            string  false      in
CONFIG.PSU_MIO_53_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_53_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_53_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_53_SLEW                                 string  false      slow
CONFIG.PSU_MIO_54_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_54_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_54_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_54_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_54_SLEW                                 string  false      slow
CONFIG.PSU_MIO_55_DIRECTION                            string  false      in
CONFIG.PSU_MIO_55_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_55_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_55_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_55_SLEW                                 string  false      slow
CONFIG.PSU_MIO_56_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_56_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_56_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_56_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_56_SLEW                                 string  false      slow
CONFIG.PSU_MIO_57_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_57_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_57_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_57_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_57_SLEW                                 string  false      slow
CONFIG.PSU_MIO_58_DIRECTION                            string  false      out
CONFIG.PSU_MIO_58_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_58_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_58_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_58_SLEW                                 string  false      slow
CONFIG.PSU_MIO_59_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_59_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_59_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_59_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_59_SLEW                                 string  false      slow
CONFIG.PSU_MIO_60_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_60_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_60_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_60_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_60_SLEW                                 string  false      slow
CONFIG.PSU_MIO_61_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_61_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_61_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_61_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_61_SLEW                                 string  false      slow
CONFIG.PSU_MIO_62_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_62_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_62_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_62_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_62_SLEW                                 string  false      slow
CONFIG.PSU_MIO_63_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_63_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_63_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_63_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_63_SLEW                                 string  false      slow
CONFIG.PSU_MIO_64_DIRECTION                            string  false      out
CONFIG.PSU_MIO_64_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_64_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_64_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_64_SLEW                                 string  false      slow
CONFIG.PSU_MIO_65_DIRECTION                            string  false      out
CONFIG.PSU_MIO_65_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_65_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_65_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_65_SLEW                                 string  false      slow
CONFIG.PSU_MIO_66_DIRECTION                            string  false      out
CONFIG.PSU_MIO_66_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_66_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_66_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_66_SLEW                                 string  false      slow
CONFIG.PSU_MIO_67_DIRECTION                            string  false      out
CONFIG.PSU_MIO_67_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_67_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_67_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_67_SLEW                                 string  false      slow
CONFIG.PSU_MIO_68_DIRECTION                            string  false      out
CONFIG.PSU_MIO_68_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_68_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_68_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_68_SLEW                                 string  false      slow
CONFIG.PSU_MIO_69_DIRECTION                            string  false      out
CONFIG.PSU_MIO_69_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_69_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_69_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_69_SLEW                                 string  false      slow
CONFIG.PSU_MIO_70_DIRECTION                            string  false      in
CONFIG.PSU_MIO_70_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_70_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_70_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_70_SLEW                                 string  false      slow
CONFIG.PSU_MIO_71_DIRECTION                            string  false      in
CONFIG.PSU_MIO_71_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_71_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_71_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_71_SLEW                                 string  false      slow
CONFIG.PSU_MIO_72_DIRECTION                            string  false      in
CONFIG.PSU_MIO_72_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_72_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_72_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_72_SLEW                                 string  false      slow
CONFIG.PSU_MIO_73_DIRECTION                            string  false      in
CONFIG.PSU_MIO_73_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_73_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_73_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_73_SLEW                                 string  false      slow
CONFIG.PSU_MIO_74_DIRECTION                            string  false      in
CONFIG.PSU_MIO_74_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_74_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_74_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_74_SLEW                                 string  false      slow
CONFIG.PSU_MIO_75_DIRECTION                            string  false      in
CONFIG.PSU_MIO_75_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_75_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_75_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_75_SLEW                                 string  false      slow
CONFIG.PSU_MIO_76_DIRECTION                            string  false      out
CONFIG.PSU_MIO_76_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_76_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_76_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_76_SLEW                                 string  false      slow
CONFIG.PSU_MIO_77_DIRECTION                            string  false      inout
CONFIG.PSU_MIO_77_DRIVE_STRENGTH                       string  false      12
CONFIG.PSU_MIO_77_INPUT_TYPE                           string  false      schmitt
CONFIG.PSU_MIO_77_PULLUPDOWN                           string  false      pullup
CONFIG.PSU_MIO_77_SLEW                                 string  false      slow
